t,x,y,yaw,v
2.2200,12.7857,8.8631,0.481415,7.4258
2.2400,12.9181,8.9322,0.481415,7.4654
2.2600,13.0511,9.0017,0.481415,7.5042
2.2800,13.1848,9.0716,0.481415,7.5421
2.3000,13.3192,9.1417,0.481415,7.5792
2.3200,13.4542,9.2123,0.481415,7.6154
2.3400,13.5898,9.2831,0.481415,7.6509
2.3600,13.7260,9.3543,0.481415,7.6856
2.3800,13.8629,9.4258,0.481415,7.7194
2.4000,14.0003,9.4976,0.481415,7.7526
2.4200,14.1383,9.5697,0.481415,7.7850
2.4400,14.2769,9.6421,0.481415,7.8166
2.4600,14.4160,9.7147,0.481415,7.8476
2.4800,14.5556,9.7877,0.481415,7.8778
2.5000,14.6958,9.8609,0.481415,7.9074
2.5200,14.8365,9.9344,0.481415,7.9363
2.5400,14.1356,9.5683,0.970107,0.0000
2.5600,14.1359,9.5687,0.970107,0.0250
2.5800,14.1365,9.5695,0.970107,0.0513
2.6000,14.1374,9.5708,0.970107,0.0769
2.6200,14.1385,9.5725,0.970107,0.1019
2.6400,14.1400,9.5746,0.970107,0.1263
2.6600,14.1416,9.5771,0.970107,0.1502
2.6800,14.1436,9.5799,0.970107,0.1735
2.7000,14.1458,9.5832,0.970107,0.1963
2.7200,14.1483,9.5868,0.970107,0.2186
2.7400,14.1510,9.5907,0.970107,0.2403
2.7600,14.1540,9.5950,0.970107,0.2615
2.7800,14.1572,9.5997,0.970107,0.2822
2.8000,14.1606,9.6047,0.970107,0.3025
2.8200,14.1642,9.6100,0.970107,0.3222
2.8400,14.1681,9.6156,0.970107,0.3415
2.8600,14.1722,9.6216,0.970107,0.3603
2.8800,14.1764,9.6278,0.970107,0.3787
2.9000,14.1809,9.6344,0.970107,0.3966
2.9200,14.1856,9.6412,0.970107,0.4141
2.9400,14.1905,9.6483,0.970107,0.4312
2.9600,14.1955,9.6557,0.970107,0.4479
2.9800,14.2008,9.6634,0.970107,0.4641
3.0000,14.2062,9.6713,0.970107,0.4800
3.0200,14.2118,9.6795,0.970107,0.4954
3.0400,14.2176,9.6879,0.970107,0.5105
3.0600,14.2235,9.6965,0.970107,0.5252
3.0800,14.2296,9.7055,0.970107,0.5396
3.1000,14.2359,9.7146,0.970107,0.5536
3.1200,14.2423,9.7239,0.970107,0.5672
3.1400,14.2489,9.7335,0.970107,0.5805
3.1600,14.2556,9.7433,0.970107,0.5934
3.1800,14.2624,9.7533,0.970107,0.6061
3.2000,14.2694,9.7635,0.970107,0.6184
3.2200,14.2765,9.7739,0.970107,0.6304
3.2400,14.2838,9.7845,0.970107,0.6420
3.2600,14.2918,9.7963,0.970107,0.7120
3.2800,14.3007,9.8092,0.970107,0.7820
3.3000,14.3103,9.8232,0.970107,0.8520
3.3200,14.3207,9.8384,0.970107,0.9220
3.3400,14.3319,9.8548,0.970107,0.9920
3.3600,14.3440,9.8723,0.970107,1.0620
3.3800,14.3567,9.8910,0.970107,1.1320
3.4000,14.3703,9.9108,0.970107,1.2020
3.4200,14.3847,9.9318,0.970107,1.2720
3.4400,14.3999,9.9540,0.970107,1.3420
3.4600,14.4158,9.9773,0.970107,1.4120
3.4800,13.8957,9.2180,0.481415,0.0000
3.5000,13.8957,9.2180,0.481415,0.0000
3.5200,13.8962,9.2183,0.481415,0.0300
3.5400,13.8972,9.2188,0.481415,0.0578
3.5600,13.8987,9.2196,0.481415,0.0850
3.5800,13.9007,9.2206,0.481415,0.1116
3.6000,13.9031,9.2219,0.481415,0.1376
3.6200,13.9060,9.2234,0.481415,0.1629
3.6400,13.9093,9.2252,0.481415,0.1877
3.6600,13.9131,9.2271,0.481415,0.2119
3.6800,13.9173,9.2293,0.481415,0.2356
3.7000,13.9219,9.2317,0.481415,0.2587
3.7200,13.9268,9.2343,0.481415,0.2812
3.7400,13.9322,9.2371,0.481415,0.3032
3.7600,13.9380,9.2401,0.481415,0.3247
3.7800,13.9441,9.2433,0.481415,0.3457
3.8000,13.9506,9.2467,0.481415,0.3662
3.8200,13.9574,9.2503,0.481415,0.3862
3.8400,13.9646,9.2541,0.481415,0.4057
3.8600,13.9722,9.2580,0.481415,0.4248
3.8800,13.9800,9.2621,0.481415,0.4434
3.9000,13.9882,9.2664,0.481415,0.4615
3.9200,13.9967,9.2708,0.481415,0.4792
3.9400,14.0055,9.2754,0.481415,0.4965
3.9600,14.0146,9.2802,0.481415,0.5133
3.9800,14.0240,9.2851,0.481415,0.5298
4.0000,14.0337,9.2901,0.481415,0.5458
