t,zx,zy,xhat,yhat,vxhat,vyhat
1.7400,71.2189,52.0479,71.1640,52.1688,-1.0204,0.2777
1.7600,70.5737,51.6029,70.6591,51.6886,-1.1629,0.1348
1.7800,69.3640,49.8914,69.5547,50.1614,-1.4808,-0.3151
1.8000,70.5427,49.0494,70.3900,49.2152,-1.2265,-0.5916
1.8200,70.1930,56.6388,70.2188,55.5235,-1.2696,1.2673
1.8400,67.5713,54.1114,67.9646,54.3270,-1.9251,0.9079
1.8600,68.7789,52.3246,68.6510,52.6277,-1.7119,0.4028
1.8800,66.5539,52.9741,66.8633,52.9234,-2.2277,0.4874
1.9000,68.2345,55.0496,68.0222,54.7321,-1.8737,1.0165
1.9200,66.9544,52.3515,67.1089,52.7116,-2.1313,0.4162
1.9400,72.9290,54.4407,72.0496,54.1826,-0.6656,0.8464
1.9600,69.2271,55.3652,69.6485,55.1903,-1.3679,1.1378
1.9800,70.7570,49.2251,70.5867,50.1233,-1.0839,-0.3592
2.0000,69.9792,50.1246,70.0671,50.1233,-1.2304,-0.3570
2.0200,71.0229,51.4165,70.8759,51.2215,-0.9853,-0.0319
2.0400,67.5123,53.1449,68.0139,52.8563,-1.8212,0.4491
2.0600,67.4943,52.8840,67.5668,52.8812,-1.9420,0.4538
2.0800,69.7259,53.2356,69.3962,53.1838,-1.3925,0.5401
2.1000,67.6765,51.9406,67.9303,52.1287,-1.8155,0.2266
2.1200,69.2271,52.8538,69.0271,52.7457,-1.4822,0.4067
2.1400,70.7505,53.7350,70.4876,53.5878,-1.0439,0.6520
2.1600,70.5132,57.1106,70.5062,56.5842,-1.0323,1.5295
2.1800,68.1304,54.8923,68.4836,55.1507,-1.6211,1.0989
2.2000,69.3205,53.8590,69.1901,54.0561,-1.4038,0.7704
2.2200,72.3048,52.3995,71.8334,52.6503,-0.6181,0.3524
2.2400,70.4842,51.5078,70.6847,51.6803,-0.9523,0.0651
2.2600,67.8442,50.6537,68.2674,50.8079,-1.6577,-0.1919
2.2800,68.7565,59.0958,68.6782,57.8520,-1.5271,1.8810
2.3000,68.3259,56.8702,68.3742,57.0231,-1.6075,1.6262
2.3200,67.1086,52.8947,67.2936,53.5188,-1.9159,0.5859
2.3400,68.5748,52.3441,68.3769,52.5221,-1.5860,0.2893
2.3600,66.1868,52.4088,66.5105,52.4267,-2.1256,0.2596
2.3800,64.9432,51.0598,65.1719,51.2656,-2.5068,-0.0834
2.4000,69.4642,50.8521,68.8128,50.9139,-1.4212,-0.1864
2.4200,71.5417,53.1666,71.1281,52.8281,-0.7319,0.3777
