t,zx,zy,xhat,yhat,vxhat,vyhat
7.5600,61.6196,53.2542,61.2687,53.4324,-1.3665,-0.1339
7.5800,61.2647,55.0683,61.2612,54.8225,-1.3606,0.2758
7.6000,60.5080,57.7421,60.6169,57.3050,-1.5421,1.0043
7.6200,60.8840,56.5770,60.8393,56.6892,-1.4677,0.8173
7.6400,60.5250,53.6029,60.5677,54.0683,-1.5389,0.0416
7.6600,59.7800,53.5798,59.8935,53.6532,-1.7281,-0.0807
7.6800,61.4127,60.6937,61.1797,59.6374,-1.3397,1.6798
7.7000,59.2161,54.5902,59.5066,55.3523,-1.8239,0.4096
7.7200,60.7939,53.3403,60.5953,53.6434,-1.4930,-0.0954
7.7400,59.1158,53.9432,59.3332,53.8979,-1.8554,-0.0200
7.7600,61.7143,55.8487,61.3516,55.5560,-1.2508,0.4678
7.7800,56.4856,56.4464,57.2117,56.3143,-2.4611,0.6881
7.8000,61.9664,57.9297,61.2459,57.6894,-1.2601,1.0885
7.8200,60.5311,55.9827,60.6346,56.2419,-1.4325,0.6563
7.8400,58.4601,56.4289,58.7820,56.4028,-1.9689,0.6998
7.8600,63.3549,54.3171,62.6631,54.6321,-0.8158,0.1749
7.8800,61.2757,58.7520,61.4814,58.1345,-1.1586,1.2040
7.9000,59.2799,53.9634,59.6066,54.5926,-1.7032,0.1552
7.9200,63.3746,55.0261,62.8043,54.9616,-0.7527,0.2628
7.9400,61.4247,56.7564,61.6294,56.4879,-1.0938,0.7101
7.9600,59.9243,56.3434,60.1768,56.3672,-1.5146,0.6704
7.9800,57.3233,53.9775,57.7467,54.3379,-2.2204,0.0697
8.0000,58.3981,54.4306,58.2937,54.4169,-2.0465,0.0925
8.0200,62.6349,57.7478,61.9776,57.2484,-0.9509,0.9247
8.0400,60.7070,53.9277,60.8947,54.4286,-1.2638,0.0899
8.0600,61.3408,56.4451,61.2701,56.1429,-1.1460,0.5936
8.0800,58.2034,54.9499,58.6600,55.1307,-1.9069,0.2924
8.1000,58.1994,56.7249,58.2628,56.4867,-2.0126,0.6895
8.1200,56.0906,56.9958,56.4104,56.9215,-2.5455,0.8134
8.1400,59.4938,56.1929,59.0237,56.3046,-1.7620,0.6271
8.1600,59.4495,57.2697,59.3804,57.1268,-1.6467,0.8653
8.1800,60.3719,54.2361,60.2182,54.6723,-1.3906,0.1383
8.2000,55.5263,55.8989,56.2259,55.7154,-2.5566,0.4442
8.2200,59.8668,59.7785,59.3130,59.1703,-1.6336,1.4578
8.2400,61.1669,58.2813,60.8839,58.4190,-1.1619,1.2282
8.2600,61.9466,54.8130,61.7837,55.3575,-0.8905,0.3206
8.2800,57.8650,57.1604,58.4501,56.8910,-1.8657,0.7697
8.3000,60.0144,55.4649,59.7742,55.6811,-1.4653,0.4093
8.3200,60.3721,56.3450,60.2780,56.2467,-1.3085,0.5732
8.3400,63.8679,55.2527,63.3255,55.4035,-0.4045,0.3219
8.3600,58.7342,54.7795,59.4216,54.8740,-1.5503,0.1643
8.3800,57.6651,60.8385,57.9239,59.9443,-1.9817,1.6546
8.4000,59.8545,54.3780,59.5590,55.2179,-1.4891,0.2547
8.4200,63.5793,57.8254,62.9718,57.4350,-0.4766,0.9053
8.4400,56.2553,54.7031,57.2613,55.1156,-2.1533,0.2178
8.4600,56.7526,57.4794,56.8225,57.1255,-2.2697,0.8077
8.4800,59.4316,57.2694,59.0334,57.2503,-1.6061,0.8396
8.5000,58.4764,55.9919,58.5552,56.1832,-1.7373,0.5208
8.5200,61.3285,53.5447,60.9073,53.9421,-1.0353,-0.1414
8.5400,60.8102,58.4557,60.8217,57.7783,-1.0544,0.9877
8.5600,60.4892,52.7243,60.5359,53.4854,-1.1322,-0.2807
8.5800,61.1150,57.7694,61.0247,57.1260,-0.9818,0.7917
8.6000,59.6548,58.4496,59.8573,58.2534,-1.3194,1.1187
8.6200,57.2526,53.4344,57.6394,54.1606,-1.9640,-0.0917
8.6400,61.9858,55.1071,61.3279,54.9649,-0.8675,0.1454
8.6600,59.2904,57.9888,59.5934,57.5356,-1.3726,0.9006
8.6800,56.6953,56.4066,57.1259,56.5787,-2.0903,0.6139
8.7000,56.7664,57.0316,56.8140,56.9655,-2.1697,0.7241
8.7200,61.5268,58.5222,60.8134,58.2909,-0.9806,1.1096
8.7400,57.5551,57.0198,58.0409,57.2138,-1.7903,0.7863
8.7600,57.7577,56.6925,57.7948,56.7731,-1.8522,0.6521
8.7800,57.6493,58.2685,57.6656,58.0461,-1.8793,1.0226
8.8000,60.0558,53.4758,59.6916,54.1644,-1.2723,-0.1250
8.8200,59.8825,58.4555,59.8501,57.8115,-1.2182,0.9483
8.8400,57.7016,58.5993,58.0202,58.4840,-1.7493,1.1406
8.8600,57.0899,60.1439,57.2242,59.8983,-1.9731,1.5498
8.8800,59.8778,56.2538,59.4738,56.8052,-1.2998,0.6310
8.9000,56.6862,57.2086,57.1005,57.1500,-1.9902,0.7287
8.9200,61.4190,55.0119,60.7653,55.3348,-0.9006,0.1905
8.9400,61.4762,57.0101,61.3669,56.7594,-0.7184,0.6084
8.9600,54.8869,60.5392,55.8567,59.9741,-2.3348,1.5503
8.9800,58.7437,55.2264,58.3037,55.9432,-1.6014,0.3556
9.0000,59.4867,62.2008,59.3044,61.2632,-1.2976,1.9183
9.0200,56.2176,51.7442,56.6767,53.1778,-2.0628,-0.4711
9.0400,55.3594,59.8305,55.5508,58.8312,-2.3819,1.1944
9.0600,61.5985,54.1725,60.6842,54.8749,-0.8580,0.0238
9.0800,57.3148,58.7503,57.8177,58.1691,-1.6961,0.9925
9.1000,60.5885,57.8606,60.1678,57.9098,-0.9949,0.9104
9.1200,58.4600,56.4707,58.7132,56.6893,-1.4169,0.5461
9.1400,54.2744,60.9771,54.9360,60.3355,-2.5195,1.6153
9.1600,58.9976,58.9373,58.3808,59.1519,-1.4915,1.2577
9.1800,58.5738,57.5297,58.5404,57.7768,-1.4358,0.8459
9.2000,57.8067,57.5130,57.9125,57.5551,-1.6120,0.7757
9.2200,59.9315,58.8048,59.6238,58.6197,-1.0992,1.0842
9.2400,60.2982,55.3377,60.1937,55.8333,-0.9251,0.2583
9.2600,55.1912,55.8132,55.9388,55.8170,-2.1711,0.2520
9.2800,57.6235,57.9608,57.3642,57.6400,-1.7391,0.7867
9.3000,59.2332,57.3040,58.9476,57.3567,-1.2631,0.6988
9.3200,57.4374,55.8300,57.6601,56.0611,-1.6344,0.3136
9.3400,56.7137,54.6308,56.8507,54.8463,-1.8628,-0.0456
9.3600,57.2013,57.6104,57.1432,57.1957,-1.7659,0.6457
9.3800,59.0090,58.2260,58.7239,58.0734,-1.2906,0.9001
9.4000,53.0599,54.5827,53.9057,55.1090,-2.7001,0.0229
9.4200,55.0385,57.9667,54.8605,57.5381,-2.4034,0.7372
9.4400,59.8732,55.2513,59.1141,55.5966,-1.1382,0.1618
9.4600,55.2855,57.0649,55.8564,56.8452,-2.0896,0.5281
9.4800,56.9428,58.4573,56.7736,58.2170,-1.8076,0.9285
9.5000,56.8678,55.9676,56.8482,56.3078,-1.7750,0.3615
9.5200,59.1296,60.6718,58.7820,60.0183,-1.1958,1.4507
9.5400,60.4386,60.4838,60.1865,60.4183,-0.7757,1.5598
9.5600,61.4172,57.9095,61.2303,58.2905,-0.4641,0.9248
9.5800,53.9074,52.1362,55.0044,53.0621,-2.2925,-0.6184
9.6000,63.0220,55.4146,61.8125,55.0599,-0.2767,-0.0272
9.6200,62.9301,60.2550,62.7616,59.4756,0.0041,1.2717
9.6400,58.0111,54.3397,58.7237,55.1139,-1.1835,-0.0186
9.6600,61.6164,57.9858,61.1790,57.5550,-0.4544,0.6994
9.6800,58.6010,58.4549,58.9863,58.3220,-1.0967,0.9209
9.7000,57.1837,54.1069,57.4508,54.7419,-1.5418,-0.1375
9.7200,57.3003,57.1644,57.3183,56.8006,-1.5717,0.4689
9.7400,58.0882,58.0805,57.9680,57.8899,-1.3714,0.7865
9.7600,57.7588,56.6700,57.7861,56.8554,-1.4168,0.4776
9.7800,59.1166,54.1931,58.9128,54.5938,-1.0771,-0.1904
9.8000,56.9652,55.9806,57.2541,55.7720,-1.5586,0.1573
9.8200,54.3015,55.7590,54.7397,55.7614,-2.2890,0.1532
9.8400,59.1853,55.6791,58.5116,55.6919,-1.1661,0.1319
9.8600,60.1147,58.7844,59.8707,58.3210,-0.7595,0.9043
9.8800,53.7066,57.9885,54.6290,58.0411,-2.2968,0.8167
9.9000,57.8132,59.8445,57.3286,59.5764,-1.4892,1.2635
9.9200,53.9415,55.6868,54.4451,56.2740,-2.3286,0.2847
9.9400,58.2069,54.9131,57.6356,55.1181,-1.3765,-0.0569
9.9600,58.3644,57.8509,58.2509,57.4408,-1.1874,0.6266
9.9800,55.2000,56.9558,55.6541,57.0304,-1.9442,0.5022
10.0000,59.2325,56.9023,58.6899,56.9231,-1.0399,0.4677
10.0200,58.0628,54.5541,58.1537,54.9109,-1.1915,-0.1269
10.0400,58.1532,60.0686,58.1497,59.2945,-1.1856,1.1631
10.0600,57.3967,55.8185,57.5061,56.3434,-1.3680,0.2883
10.0800,56.1768,61.1582,56.3721,60.4369,-1.6934,1.4906
10.1000,59.6123,55.1880,59.1212,55.9798,-0.8749,0.1709
10.1200,55.7597,58.6262,56.2613,58.2297,-1.7109,0.8317
10.1400,55.8927,57.8553,55.9429,57.9139,-1.7945,0.7339
10.1600,58.7087,57.8309,58.2884,57.8456,-1.0941,0.7095
10.1800,55.7876,57.6908,56.1594,57.7162,-1.7138,0.6672
10.2000,56.9682,55.4625,56.8418,55.8025,-1.5031,0.1005
10.2200,55.5751,56.0697,55.7606,56.0299,-1.8122,0.1667
10.2400,57.5798,55.9974,57.3014,56.0028,-1.3484,0.1578
10.2600,59.9519,56.3384,59.5503,56.2885,-0.6790,0.2409
10.2800,55.5899,58.2236,56.1819,57.9341,-1.6657,0.7235
10.3000,55.1228,54.3820,55.2767,54.9170,-1.9221,-0.1682
