t,steer_rad,accel,v_ref,cte,wp_idx
2.3200,0.065027,1.812755,8.0000,1.8283,2
2.3400,0.064925,1.772459,8.0000,1.6784,2
2.3600,0.064814,1.732982,8.0000,1.5283,2
2.3800,0.064692,1.694308,8.0000,1.3783,1
2.4000,0.201722,1.656420,8.0000,1.2288,1
2.4200,0.201505,1.619302,8.0000,1.0805,1
2.4400,0.201271,1.582940,8.0000,1.9319,2
2.4600,0.201016,1.547318,8.0000,1.7854,2
2.4800,0.200738,1.512421,8.0000,1.6409,2
2.5000,0.200435,1.478234,8.0000,1.4993,1
2.5200,0.200102,1.444743,8.0000,1.3616,1
2.5400,0.199735,1.411935,8.0000,1.2295,1
2.5600,0.232842,1.379796,8.0000,1.1054,1
2.5800,0.232600,1.348311,8.0000,1.9592,2
2.6000,0.232339,1.388072,8.0000,1.8000,2
2.6200,0.232057,1.407821,8.0000,1.6414,2
2.6400,0.366524,1.407821,8.0000,1.9796,1
2.6600,0.366224,1.407821,8.0000,1.8285,1
2.6800,0.365898,1.407821,8.0000,1.6778,1
2.7000,0.365541,1.407821,8.0000,1.5275,1
2.7200,0.365152,1.407821,8.0000,1.3779,1
2.7400,0.364726,1.407821,8.0000,1.2295,1
2.7600,0.364258,1.407821,8.0000,1.0827,1
2.7800,0.124690,1.407821,8.0000,1.6736,1
2.8000,0.124523,1.407821,8.0000,1.5141,1
2.8200,0.124343,1.407821,8.0000,1.3548,1
2.8400,0.124148,1.407821,8.0000,1.1958,1
2.8600,0.288338,1.407821,8.0000,1.7304,1
2.8800,0.288020,1.407821,8.0000,1.5828,1
2.9000,0.287676,1.407821,8.0000,1.4367,1
2.9200,0.287301,1.407821,8.0000,1.2924,1
2.9400,0.058846,1.407821,8.0000,1.7798,1
2.9600,0.058770,1.407821,8.0000,1.6199,1
2.9800,0.058688,1.407821,8.0000,1.4601,1
3.0000,0.058600,1.407821,8.0000,1.3003,1
3.0200,0.058505,1.407821,8.0000,1.1407,1
3.0400,0.058402,1.407821,8.0000,2.3865,2
3.0600,0.242891,1.407821,8.0000,1.6101,1
3.0800,0.242583,1.407821,8.0000,1.4652,1
3.1000,0.242249,1.407821,8.0000,1.9065,1
3.1200,0.241886,1.407821,8.0000,1.7466,1
3.1400,0.241490,1.407821,8.0000,1.5868,1
3.1600,0.241056,1.407821,8.0000,1.4273,1
3.1800,0.121051,1.407821,8.0000,1.2682,1
3.2000,0.120914,1.407821,8.0000,1.1094,1
3.2200,0.120767,1.407821,8.0000,1.7455,2
3.2400,0.393197,1.407821,8.0000,1.5936,1
3.2600,0.392645,1.407821,8.0000,1.4420,1
3.2800,0.071589,1.407821,8.0000,1.8836,1
3.3000,0.071468,1.407821,8.0000,1.7261,1
3.3200,0.071337,1.407821,8.0000,1.5693,1
3.3400,0.071194,1.407821,8.0000,1.4133,1
3.3600,0.004452,1.407821,8.0000,1.2585,1
3.3800,0.242032,1.407821,8.0000,1.1053,1
3.4000,0.241673,1.407821,8.0000,1.6905,1
3.4200,0.241282,1.407821,8.0000,1.5324,1
3.4400,0.240853,1.407821,8.0000,1.3742,1
3.4600,0.075746,1.407821,8.0000,1.2161,1
3.4800,-0.093787,1.407821,8.0000,1.7375,1
3.5000,-0.093612,1.407821,8.0000,1.5887,1
3.5200,-0.093421,1.407821,8.0000,1.4419,1
3.5400,0.116779,1.407821,8.0000,1.2978,1
3.5600,0.116599,1.407821,8.0000,1.1585,1
3.5800,0.116403,1.407821,8.0000,1.6364,1
3.6000,0.116190,1.407821,8.0000,1.4764,1
3.6200,0.115958,1.407821,8.0000,1.3165,1
3.6400,0.230151,1.407821,8.0000,1.1567,1
3.6600,0.229839,1.407821,8.0000,1.8886,2
3.6800,0.229500,1.407821,8.0000,1.7337,2
3.7000,0.229131,1.407821,8.0000,1.5308,1
3.7200,0.228727,1.407821,8.0000,1.9359,1
3.7400,0.271191,1.407821,8.0000,1.7811,1
3.7600,0.270868,1.407821,8.0000,1.6282,1
3.7800,0.270517,1.407821,8.0000,1.4777,1
