t,x,y,yaw,v
2.2200,13.0912,8.2253,0.223645,7.4258
2.2400,13.2367,8.2590,0.227404,7.4654
2.2600,13.3827,8.2934,0.231178,7.5042
2.2800,13.5294,8.3285,0.234966,7.5421
2.3000,13.6767,8.3644,0.238768,7.5792
2.3200,13.8246,8.4009,0.242583,7.6154
2.3400,13.9730,8.4383,0.246409,7.6509
2.3600,14.1219,8.4763,0.250247,7.6856
2.3800,14.2713,8.5151,0.254093,7.7194
2.4000,14.4209,8.5559,0.266289,7.7526
2.4200,14.5706,8.5987,0.278522,7.7850
2.4400,14.7204,8.6436,0.290790,7.8166
2.4600,14.8702,8.6904,0.303091,7.8476
2.4800,15.0200,8.7393,0.315421,7.8778
2.5000,15.1697,8.7902,0.327779,7.9074
2.5200,15.3193,8.8432,0.340160,7.9363
2.5400,15.4688,8.8982,0.352563,7.9645
2.5600,15.6180,8.9555,0.367142,7.9921
2.5800,15.7665,9.0151,0.381719,8.0000
2.6000,15.9141,9.0769,0.396280,8.0000
2.6200,16.0608,9.1408,0.410822,8.0000
2.6400,16.2059,9.2081,0.434445,8.0000
2.6600,16.3494,9.2789,0.458047,8.0000
2.6800,16.4912,9.3530,0.481625,8.0000
2.7000,16.6312,9.4304,0.505179,8.0000
2.7200,16.7694,9.5112,0.528704,8.0000
2.7400,16.9056,9.5951,0.552200,8.0000
2.7600,17.0398,9.6822,0.575663,8.0000
2.7800,17.1734,9.7703,0.583376,8.0000
2.8000,17.3062,9.8595,0.591079,8.0000
2.8200,17.4384,9.9497,0.598771,8.0000
2.8400,17.5698,10.0409,0.606450,8.0000
2.8600,17.6996,10.1344,0.624703,8.0000
2.8800,17.8277,10.2304,0.642934,8.0000
2.9000,17.9540,10.3286,0.661142,8.0000
2.9200,18.0784,10.4291,0.679325,8.0000
2.9400,18.2026,10.5301,0.682951,8.0000
2.9600,18.3263,10.6315,0.686572,8.0000
2.9800,18.4497,10.7334,0.690187,8.0000
3.0000,18.5727,10.8357,0.693798,8.0000
3.0200,18.6953,10.9385,0.697402,8.0000
3.0400,18.8176,11.0417,0.701000,8.0000
3.0600,18.9383,11.1467,0.716248,8.0000
3.0800,19.0574,11.2536,0.731476,8.0000
3.1000,19.1748,11.3623,0.746683,8.0000
3.1200,19.2906,11.4727,0.761865,8.0000
3.1400,19.4046,11.5849,0.777022,8.0000
3.1600,19.5170,11.6988,0.792150,8.0000
3.1800,19.6285,11.8135,0.799636,8.0000
3.2000,19.7392,11.9291,0.807113,8.0000
3.2200,19.8490,12.0455,0.814582,8.0000
3.2400,19.9558,12.1646,0.840107,8.0000
3.2600,20.0595,12.2865,0.865594,8.0000
3.2800,20.1626,12.4088,0.870007,8.0000
3.3000,20.2653,12.5315,0.874412,8.0000
3.3200,20.3674,12.6547,0.878810,8.0000
3.3400,20.4689,12.7783,0.883198,8.0000
3.3600,20.5704,12.9020,0.883472,8.0000
3.3800,20.6700,13.0272,0.898664,8.0000
3.4000,20.7678,13.1539,0.913833,8.0000
3.4200,20.8635,13.2821,0.928976,8.0000
3.4400,20.9574,13.4117,0.944091,8.0000
3.4600,21.0506,13.5417,0.948761,8.0000
3.4800,21.1446,13.6712,0.942973,8.0000
3.5000,21.2393,13.8001,0.937195,8.0000
3.5200,21.3348,13.9285,0.931430,8.0000
3.5400,21.4293,14.0576,0.938649,8.0000
3.5600,21.5229,14.1874,0.945857,8.0000
3.5800,21.6156,14.3178,0.953053,8.0000
3.6000,21.7073,14.4489,0.960235,8.0000
3.6200,21.7981,14.5806,0.967403,8.0000
3.6400,21.8870,14.7137,0.981822,8.0000
3.6600,21.9740,14.8480,0.996220,8.0000
3.6800,22.0590,14.9835,1.010596,8.0000
3.7000,22.1421,15.1203,1.024949,8.0000
3.7200,22.2231,15.2582,1.039275,8.0000
3.7400,22.3019,15.3975,1.056385,8.0000
3.7600,22.3782,15.5381,1.073474,8.0000
3.7800,22.4521,15.6800,1.090540,8.0000
3.8000,22.5236,15.8232,1.107580,8.0000
3.8200,22.5927,15.9675,1.124593,8.0000
3.8400,22.6592,16.1130,1.141575,8.0000
3.8600,22.7233,16.2596,1.158595,8.0000
3.8800,22.7849,16.4072,1.175594,8.0000
