t,x,y,yaw,v
2.2200,10.4032,9.4391,0.971270,5.1673
2.2400,10.4616,9.5247,0.971270,5.1807
2.2600,10.5203,9.6104,0.971270,5.1938
2.2800,10.5789,9.6963,0.971270,5.2000
2.3000,10.6376,9.7822,0.971270,5.2000
2.3200,10.6963,9.8680,0.971270,5.2000
2.3400,10.7550,9.9539,0.971270,5.2000
2.3600,10.8137,10.0398,0.971270,5.2000
2.3800,10.8723,10.1256,0.971270,5.2000
2.4000,10.9310,10.2115,0.971270,5.2000
2.4200,10.9897,10.2973,0.971270,5.2000
2.4400,11.0484,10.3832,0.971270,5.2000
2.4600,11.1071,10.4691,0.971270,5.2000
2.4800,11.1658,10.5549,0.971270,5.2000
2.5000,11.2244,10.6408,0.971270,5.2000
2.5200,11.2831,10.7267,0.971270,5.2000
2.5400,11.3418,10.8125,0.971270,5.2000
2.5600,11.4005,10.8984,0.971270,5.2000
2.5800,11.4592,10.9842,0.971270,5.2000
2.6000,11.5178,11.0701,0.971270,5.2000
2.6200,11.5765,11.1560,0.971270,5.2000
2.6400,11.6352,11.2418,0.971270,5.2000
2.6600,11.6939,11.3277,0.971270,5.2000
2.6800,11.7526,11.4136,0.971270,5.2000
2.7000,11.8113,11.4994,0.971270,5.2000
2.7200,11.8699,11.5853,0.971270,5.2000
2.7400,11.9286,11.6711,0.971270,5.2000
2.7600,11.9873,11.7570,0.971270,5.2000
2.7800,12.0460,11.8429,0.971270,5.2000
2.8000,12.1047,11.9287,0.971270,5.2000
2.8200,12.1634,12.0146,0.971270,5.2000
2.8400,12.2220,12.1005,0.971270,5.2000
2.8600,12.2807,12.1863,0.971270,5.2000
2.8800,12.3394,12.2722,0.971270,5.2000
2.9000,12.3981,12.3580,0.971270,5.2000
2.9200,12.4568,12.4439,0.971270,5.2000
2.9400,12.5154,12.5298,0.971270,5.2000
2.9600,12.5741,12.6156,0.971270,5.2000
2.9800,12.6328,12.7015,0.971270,5.2000
3.0000,12.6915,12.7874,0.971270,5.2000
3.0200,12.7502,12.8732,0.971270,5.2000
3.0400,12.8089,12.9591,0.971270,5.2000
3.0600,12.8675,13.0449,0.971270,5.2000
3.0800,12.9262,13.1308,0.971270,5.2000
3.1000,12.9849,13.2167,0.971270,5.2000
3.1200,13.0436,13.3025,0.971270,5.2000
3.1400,13.1023,13.3884,0.971270,5.2000
3.1600,13.1609,13.4743,0.971270,5.2000
3.1800,13.2196,13.5601,0.971270,5.2000
3.2000,13.2783,13.6460,0.971270,5.2000
3.2200,13.3370,13.7319,0.971270,5.2000
3.2400,13.3957,13.8177,0.971270,5.2000
3.2600,13.4544,13.9036,0.971270,5.2000
3.2800,13.5130,13.9894,0.971270,5.2000
3.3000,13.5717,14.0753,0.971270,5.2000
3.3200,13.6304,14.1612,0.971270,5.2000
3.3400,13.6891,14.2470,0.971270,5.2000
3.3600,13.7478,14.3329,0.971270,5.2000
3.3800,13.8065,14.4188,0.971270,5.2000
3.4000,13.8651,14.5046,0.971270,5.2000
3.4200,13.9238,14.5905,0.971270,5.2000
3.4400,13.9825,14.6763,0.971270,5.2000
3.4600,14.0412,14.7622,0.971270,5.2000
3.4800,14.0999,14.8481,0.971270,5.2000
3.5000,14.1585,14.9339,0.971270,5.2000
3.5200,14.2172,15.0198,0.971270,5.2000
3.5400,14.2759,15.1057,0.971270,5.2000
3.5600,14.3346,15.1915,0.971270,5.2000
3.5800,14.3933,15.2774,0.971270,5.2000
3.6000,14.4520,15.3632,0.971270,5.2000
3.6200,14.5106,15.4491,0.971270,5.2000
3.6400,14.5693,15.5350,0.971270,5.2000
3.6600,14.6280,15.6208,0.971270,5.2000
3.6800,14.6867,15.7067,0.971270,5.2000
3.7000,14.7454,15.7926,0.971270,5.2000
3.7200,14.8040,15.8784,0.971270,5.2000
3.7400,14.8627,15.9643,0.971270,5.2000
3.7600,14.9214,16.0501,0.971270,5.2000
3.7800,14.9801,16.1360,0.971270,5.2000
3.8000,15.0388,16.2219,0.971270,5.2000
3.8200,15.0975,16.3077,0.971270,5.2000
3.8400,15.1561,16.3936,0.971270,5.2000
3.8600,15.2148,16.4795,0.971270,5.2000
3.8800,15.2735,16.5653,0.971270,5.2000
3.9000,15.3322,16.6512,0.971270,5.2000
3.9200,15.3909,16.7370,0.971270,5.2000
3.9400,15.4495,16.8229,0.971270,5.2000
3.9600,15.5082,16.9088,0.971270,5.2000
3.9800,15.5669,16.9946,0.971270,5.2000
4.0000,15.6256,17.0805,0.971270,5.2000
4.0200,15.6843,17.1664,0.971270,5.2000
4.0400,15.7430,17.2522,0.971270,5.2000
4.0600,15.8016,17.3381,0.971270,5.2000
4.0800,15.8603,17.4239,0.971270,5.2000
4.1000,15.9190,17.5098,0.971270,5.2000
4.1200,15.9777,17.5957,0.971270,5.2000
4.1400,16.0364,17.6815,0.971270,5.2000
4.1600,16.0951,17.7674,0.971270,5.2000
4.1800,16.1537,17.8533,0.971270,5.2000
4.2000,16.2124,17.9391,0.971270,5.2000
4.2200,16.2711,18.0250,0.971270,5.2000
4.2400,16.3298,18.1108,0.971270,5.2000
4.2600,16.3885,18.1967,0.971270,5.2000
4.2800,16.4471,18.2826,0.971270,5.2000
4.3000,16.5058,18.3684,0.971270,5.2000
4.3200,16.5645,18.4543,0.971270,5.2000
4.3400,16.6232,18.5402,0.971270,5.2000
4.3600,16.6819,18.6260,0.971270,5.2000
4.3800,16.7406,18.7119,0.971270,5.2000
4.4000,16.7992,18.7978,0.971270,5.2000
4.4200,16.8579,18.8836,0.971270,5.2000
4.4400,16.9166,18.9695,0.971270,5.2000
4.4600,16.9753,19.0553,0.971270,5.2000
4.4800,17.0340,19.1412,0.971270,5.2000
4.5000,17.0926,19.2271,0.971270,5.2000
4.5200,17.1513,19.3129,0.971270,5.2000
4.5400,17.2100,19.3988,0.971270,5.2000
4.5600,17.2687,19.4847,0.971270,5.2000
4.5800,17.3274,19.5705,0.971270,5.2000
4.6000,17.3861,19.6564,0.971270,5.2000
4.6200,17.4447,19.7422,0.971270,5.2000
4.6400,17.5034,19.8281,0.971270,5.2000
4.6600,17.5621,19.9140,0.971270,5.2000
4.6800,17.6208,19.9998,0.971270,5.2000
4.7000,17.6795,20.0857,0.971270,5.2000
4.7200,17.7382,20.1716,0.971270,5.2000
4.7400,17.7968,20.2574,0.971270,5.2000
4.7600,17.8555,20.3433,0.971270,5.2000
4.7800,17.9142,20.4291,0.971270,5.2000
4.8000,17.9729,20.5150,0.971270,5.2000
4.8200,18.0316,20.6009,0.971270,5.2000
4.8400,18.0902,20.6867,0.971270,5.2000
4.8600,18.1489,20.7726,0.971270,5.2000
4.8800,18.2076,20.8585,0.971270,5.2000
4.9000,18.2663,20.9443,0.971270,5.2000
4.9200,18.3250,21.0302,0.971270,5.2000
4.9400,18.3837,21.1160,0.971270,5.2000
4.9600,18.4423,21.2019,0.971270,5.2000
4.9800,18.5010,21.2878,0.971270,5.2000
5.0000,18.5597,21.3736,0.971270,5.2000
5.0200,18.6184,21.4595,0.971270,5.2000
5.0400,18.6771,21.5454,0.971270,5.2000
5.0600,18.7357,21.6312,0.971270,5.2000
5.0800,18.7944,21.7171,0.971270,5.2000
5.1000,18.8531,21.8029,0.971270,5.2000
5.1200,18.9118,21.8888,0.971270,5.2000
5.1400,18.9705,21.9747,0.971270,5.2000
5.1600,19.0292,22.0605,0.971270,5.2000
5.1800,19.0878,22.1464,0.971270,5.2000
5.2000,19.1465,22.2323,0.971270,5.2000
5.2200,19.2052,22.3181,0.971270,5.2000
5.2400,19.2639,22.4040,0.971270,5.2000
5.2600,19.3226,22.4898,0.971270,5.2000
5.2800,19.3813,22.5757,0.971270,5.2000
5.3000,19.4399,22.6616,0.971270,5.2000
5.3200,19.4986,22.7474,0.971270,5.2000
5.3400,19.5573,22.8333,0.971270,5.2000
5.3600,19.6160,22.9192,0.971270,5.2000
5.3800,19.6747,23.0050,0.971270,5.2000
5.4000,19.7333,23.0909,0.971270,5.2000
5.4200,19.7920,23.1767,0.971270,5.2000
5.4400,19.8507,23.2626,0.971270,5.2000
5.4600,19.9094,23.3485,0.971270,5.2000
5.4800,19.9681,23.4343,0.971270,5.2000
5.5000,20.0268,23.5202,0.971270,5.2000
5.5200,20.0854,23.6061,0.971270,5.2000
5.5400,20.1441,23.6919,0.971270,5.2000
5.5600,20.2028,23.7778,0.971270,5.2000
5.5800,20.2615,23.8637,0.971270,5.2000
5.6000,20.3202,23.9495,0.971270,5.2000
5.6200,20.3788,24.0354,0.971270,5.2000
5.6400,20.4375,24.1212,0.971270,5.2000
5.6600,20.4962,24.2071,0.971270,5.2000
5.6800,20.5549,24.2930,0.971270,5.2000
5.7000,20.6136,24.3788,0.971270,5.2000
5.7200,20.6723,24.4647,0.971270,5.2000
5.7400,20.7309,24.5506,0.971270,5.2000
5.7600,20.7896,24.6364,0.971270,5.2000
5.7800,20.8483,24.7223,0.971270,5.2000
5.8000,20.9070,24.8081,0.971270,5.2000
5.8200,20.9657,24.8940,0.971270,5.2000
5.8400,21.0244,24.9799,0.971270,5.2000
5.8600,21.0830,25.0657,0.971270,5.2000
5.8800,21.1417,25.1516,0.971270,5.2000
5.9000,21.2004,25.2375,0.971270,5.2000
5.9200,21.2591,25.3233,0.971270,5.2000
5.9400,21.3178,25.4092,0.971270,5.2000
5.9600,21.3764,25.4950,0.971270,5.2000
5.9800,21.4351,25.5809,0.971270,5.2000
6.0000,21.4938,25.6668,0.971270,5.2000
6.0200,21.5525,25.7526,0.971270,5.2000
6.0400,21.6112,25.8385,0.971270,5.2000
6.0600,21.6699,25.9244,0.971270,5.2000
6.0800,21.7285,26.0102,0.971270,5.2000
6.1000,21.7872,26.0961,0.971270,5.2000
6.1200,21.8459,26.1819,0.971270,5.2000
6.1400,21.9046,26.2678,0.971270,5.2000
6.1600,21.9633,26.3537,0.971270,5.2000
6.1800,22.0219,26.4395,0.971270,5.2000
6.2000,22.0806,26.5254,0.971270,5.2000
6.2200,22.1393,26.6113,0.971270,5.2000
6.2400,22.1980,26.6971,0.971270,5.2000
6.2600,22.2567,26.7830,0.971270,5.2000
6.2800,22.3154,26.8688,0.971270,5.2000
6.3000,22.3740,26.9547,0.971270,5.2000
6.3200,22.4327,27.0406,0.971270,5.2000
6.3400,22.4914,27.1264,0.971270,5.2000
6.3600,22.5501,27.2123,0.971270,5.2000
6.3800,22.6088,27.2982,0.971270,5.2000
6.4000,22.6675,27.3840,0.971270,5.2000
6.4200,22.7261,27.4699,0.971270,5.2000
6.4400,22.7848,27.5557,0.971270,5.2000
6.4600,22.8435,27.6416,0.971270,5.2000
6.4800,22.9022,27.7275,0.971270,5.2000
6.5000,22.9609,27.8133,0.971270,5.2000
6.5200,23.0195,27.8992,0.971270,5.2000
6.5400,23.0782,27.9851,0.971270,5.2000
6.5600,23.1369,28.0709,0.971270,5.2000
6.5800,23.1956,28.1568,0.971270,5.2000
6.6000,23.2543,28.2426,0.971270,5.2000
6.6200,23.3130,28.3285,0.971270,5.2000
6.6400,23.3716,28.4144,0.971270,5.2000
6.6600,23.4303,28.5002,0.971270,5.2000
6.6800,23.4890,28.5861,0.971270,5.2000
6.7000,23.5477,28.6720,0.971270,5.2000
6.7200,23.6064,28.7578,0.971270,5.2000
6.7400,23.6650,28.8437,0.971270,5.2000
6.7600,23.7237,28.9296,0.971270,5.2000
6.7800,23.7824,29.0154,0.971270,5.2000
6.8000,23.8411,29.1013,0.971270,5.2000
6.8200,23.8998,29.1871,0.971270,5.2000
