t,steer_rad,accel,v_ref,cte,wp_idx
2.0400,0.000000,0.839474,5.2000,3.9329,1
2.0600,0.000000,0.820784,5.2000,4.0255,1
2.0800,0.000000,0.802474,5.2000,4.1187,1
2.1000,0.000000,0.784536,5.2000,4.2126,1
2.1200,0.000000,0.766963,5.2000,4.3071,1
2.1400,0.000000,0.749748,5.2000,4.4022,1
2.1600,0.000000,0.732883,5.2000,4.4979,1
2.1800,0.000000,0.716361,5.2000,4.5942,1
2.2000,0.000000,0.700175,5.2000,4.6909,1
2.2200,0.000000,0.684319,5.2000,4.7882,1
2.2400,0.000000,0.668787,5.2000,4.8860,1
2.2600,0.000000,0.653570,5.2000,4.9843,1
2.2800,0.000000,0.638664,5.2000,5.0830,1
2.3000,0.000000,0.648356,5.2000,5.1821,1
2.3200,0.000000,0.663887,5.2000,5.2813,1
2.3400,0.000000,0.663887,5.2000,5.3808,1
2.3600,0.000000,0.663887,5.2000,5.4803,1
2.3800,0.000000,0.663887,5.2000,5.5801,1
2.4000,0.000000,0.663887,5.2000,5.6800,1
2.4200,0.000000,0.663887,5.2000,5.7801,1
2.4400,0.000000,0.663887,5.2000,5.8802,1
2.4600,0.000000,0.663887,5.2000,5.9806,1
2.4800,0.000000,0.663887,5.2000,6.0810,1
2.5000,0.000000,0.663887,5.2000,6.1816,1
2.5200,0.000000,0.663887,5.2000,6.2822,1
2.5400,0.000000,0.663887,5.2000,6.3830,1
2.5600,0.000000,0.663887,5.2000,6.4839,1
2.5800,0.000000,0.663887,5.2000,6.5849,1
2.6000,0.000000,0.663887,5.2000,6.6859,1
2.6200,0.000000,0.663887,5.2000,6.7871,1
2.6400,0.000000,0.663887,5.2000,6.8883,1
2.6600,0.000000,0.663887,5.2000,6.9897,1
2.6800,0.000000,0.663887,5.2000,7.0911,1
2.7000,0.000000,0.663887,5.2000,7.1925,1
2.7200,0.000000,0.663887,5.2000,7.2941,1
2.7400,0.000000,0.663887,5.2000,7.3957,1
2.7600,0.000000,0.663887,5.2000,7.4974,1
2.7800,0.000000,0.663887,5.2000,7.5991,1
2.8000,0.000000,0.663887,5.2000,7.7009,1
2.8200,0.000000,0.663887,5.2000,7.8028,1
2.8400,0.000000,0.663887,5.2000,7.9047,1
2.8600,0.000000,0.663887,5.2000,8.0067,1
2.8800,0.000000,0.663887,5.2000,8.1087,1
2.9000,0.000000,0.663887,5.2000,8.2108,1
2.9200,0.000000,0.663887,5.2000,8.3129,1
2.9400,0.000000,0.663887,5.2000,8.4150,1
2.9600,0.000000,0.663887,5.2000,8.5173,1
2.9800,0.000000,0.663887,5.2000,8.6195,1
3.0000,0.000000,0.663887,5.2000,8.7218,1
3.0200,0.000000,0.663887,5.2000,8.8241,1
3.0400,0.000000,0.663887,5.2000,8.9265,1
3.0600,0.000000,0.663887,5.2000,9.0289,1
3.0800,0.000000,0.663887,5.2000,9.1314,1
3.1000,0.000000,0.663887,5.2000,9.2338,1
3.1200,0.000000,0.663887,5.2000,9.3364,1
3.1400,0.000000,0.663887,5.2000,9.4389,1
3.1600,0.000000,0.663887,5.2000,9.5415,1
3.1800,0.000000,0.663887,5.2000,9.6441,1
3.2000,0.000000,0.663887,5.2000,9.7467,1
3.2200,0.000000,0.663887,5.2000,9.8494,1
3.2400,0.000000,0.663887,5.2000,9.9521,1
3.2600,0.000000,0.663887,5.2000,10.0548,1
3.2800,0.000000,0.663887,5.2000,10.1576,1
3.3000,0.000000,0.663887,5.2000,10.2603,1
3.3200,0.000000,0.663887,5.2000,10.3631,1
3.3400,0.000000,0.663887,5.2000,10.4659,1
3.3600,0.000000,0.663887,5.2000,10.5688,1
3.3800,0.000000,0.663887,5.2000,10.6717,1
3.4000,0.000000,0.663887,5.2000,10.7745,1
3.4200,0.000000,0.663887,5.2000,10.8775,1
3.4400,0.000000,0.663887,5.2000,10.9804,1
3.4600,0.000000,0.663887,5.2000,11.0833,1
3.4800,0.000000,0.663887,5.2000,11.1863,1
3.5000,0.000000,0.663887,5.2000,11.2893,1
3.5200,0.000000,0.663887,5.2000,11.3923,1
3.5400,0.000000,0.663887,5.2000,11.4953,1
3.5600,0.000000,0.663887,5.2000,11.5984,1
3.5800,0.000000,0.663887,5.2000,11.7014,1
3.6000,0.000000,0.663887,5.2000,11.8045,1
3.6200,0.000000,0.663887,5.2000,11.9076,1
3.6400,0.000000,0.663887,5.2000,12.0107,1
3.6600,0.000000,0.663887,5.2000,12.1138,1
3.6800,0.000000,0.663887,5.2000,12.2170,1
3.7000,0.000000,0.663887,5.2000,12.3201,1
3.7200,0.000000,0.663887,5.2000,12.4233,1
3.7400,0.000000,0.663887,5.2000,12.5264,1
3.7600,0.000000,0.663887,5.2000,12.6296,1
3.7800,0.000000,0.663887,5.2000,12.7328,1
3.8000,0.000000,0.663887,5.2000,12.8361,1
3.8200,0.000000,0.663887,5.2000,12.9393,1
3.8400,0.000000,0.663887,5.2000,13.0425,1
