t,steer_rad,accel,v_ref,cte
2.2200,0.000000,2.027118,8.0000,7.7326
2.2400,0.000000,1.982469,8.0000,7.8791
2.2600,0.000000,1.938726,8.0000,8.0265
2.2800,0.000000,3.500000,8.0000,8.1748
2.3000,0.000000,3.500000,8.0000,8.1762
2.3200,0.000000,3.500000,8.0000,8.1776
2.3400,0.000000,3.500000,8.0000,8.1790
2.3600,0.000000,3.500000,8.0000,8.1803
2.3800,0.000000,3.500000,8.0000,8.1817
2.4000,0.000000,3.500000,8.0000,8.1831
2.4200,0.000000,3.500000,8.0000,8.1845
2.4400,0.000000,3.500000,8.0000,8.1859
2.4600,0.000000,3.500000,8.0000,8.1872
2.4800,0.000000,3.500000,8.0000,8.1886
2.5000,0.000000,3.500000,8.0000,8.1900
2.5200,0.000000,3.500000,8.0000,8.1914
2.5400,0.000000,3.500000,8.0000,8.1928
2.5600,0.000000,3.500000,8.0000,8.1942
2.5800,0.000000,3.500000,8.0000,8.1955
2.6000,0.000000,3.500000,8.0000,8.1969
2.6200,0.000000,3.500000,8.0000,8.1983
2.6400,0.000000,3.500000,8.0000,8.1997
2.6600,0.000000,3.500000,8.0000,8.2011
2.6800,0.000000,3.500000,8.0000,8.2025
2.7000,0.000000,3.500000,8.0000,8.2038
2.7200,0.000000,3.500000,8.0000,8.2052
2.7400,0.000000,3.500000,8.0000,8.2066
2.7600,0.000000,3.500000,8.0000,8.2080
2.7800,0.000000,3.500000,8.0000,8.2094
2.8000,0.000000,3.500000,8.0000,8.2108
2.8200,0.000000,3.500000,8.0000,8.2121
2.8400,0.000000,3.500000,8.0000,8.2135
2.8600,0.000000,3.500000,8.0000,8.2149
2.8800,0.000000,3.500000,8.0000,8.2163
2.9000,0.000000,3.500000,8.0000,8.2177
2.9200,0.000000,3.500000,8.0000,8.2191
2.9400,0.000000,3.500000,8.0000,8.2204
2.9600,0.000000,3.500000,8.0000,8.2218
2.9800,0.000000,3.500000,8.0000,8.2232
3.0000,0.000000,3.500000,8.0000,8.2246
3.0200,0.000000,3.500000,8.0000,8.2260
3.0400,0.000000,3.500000,8.0000,8.2274
3.0600,0.000000,3.500000,8.0000,8.2288
3.0800,0.000000,3.500000,8.0000,8.2301
3.1000,0.000000,3.500000,8.0000,8.2315
3.1200,0.000000,3.500000,8.0000,8.2329
3.1400,0.000000,3.500000,8.0000,8.2343
3.1600,0.000000,3.500000,8.0000,8.2357
3.1800,0.000000,3.500000,8.0000,8.2371
3.2000,0.000000,3.500000,8.0000,8.2384
3.2200,0.000000,3.500000,8.0000,8.2398
3.2400,0.000000,3.500000,8.0000,8.2412
3.2600,0.000000,3.500000,8.0000,8.2426
3.2800,0.000000,3.500000,8.0000,8.2440
3.3000,0.000000,3.500000,8.0000,8.2454
3.3200,0.000000,3.500000,8.0000,8.2467
3.3400,0.000000,3.500000,8.0000,8.2481
3.3600,0.000000,3.500000,8.0000,8.2495
3.3800,0.000000,3.500000,8.0000,8.2509
3.4000,0.000000,3.500000,8.0000,8.2523
3.4200,0.000000,3.500000,8.0000,8.2537
3.4400,0.000000,3.500000,8.0000,8.2550
3.4600,0.000000,3.500000,8.0000,8.2564
3.4800,0.000000,3.500000,8.0000,8.2578
3.5000,0.000000,3.500000,8.0000,8.2592
3.5200,0.000000,3.500000,8.0000,8.2606
3.5400,0.000000,3.500000,8.0000,8.2620
3.5600,0.000000,3.500000,8.0000,8.2633
3.5800,0.000000,3.500000,8.0000,8.2647
3.6000,0.000000,3.500000,8.0000,8.2661
3.6200,0.000000,3.500000,8.0000,8.2675
3.6400,0.000000,3.500000,8.0000,8.2689
3.6600,0.000000,3.500000,8.0000,8.2703
3.6800,0.000000,3.500000,8.0000,8.2716
3.7000,0.000000,3.500000,8.0000,8.2730
3.7200,0.000000,3.500000,8.0000,8.2744
3.7400,0.000000,3.500000,8.0000,8.2758
3.7600,0.000000,3.500000,8.0000,8.2772
3.7800,0.000000,3.500000,8.0000,8.2786
3.8000,0.000000,3.500000,8.0000,8.2799
3.8200,0.000000,3.500000,8.0000,8.2813
3.8400,0.000000,3.500000,8.0000,8.2827
3.8600,0.000000,3.500000,8.0000,8.2841
3.8800,0.000000,3.500000,8.0000,8.2855
3.9000,0.000000,3.500000,8.0000,8.2869
3.9200,0.000000,3.500000,8.0000,8.2882
3.9400,0.000000,3.500000,8.0000,8.2896
3.9600,0.000000,3.500000,8.0000,8.2910
3.9800,0.000000,3.500000,8.0000,8.2924
4.0000,0.000000,3.500000,8.0000,8.2938
4.0200,0.000000,3.500000,8.0000,8.2952
